81892,QQ2,Grilled cheese sandwich,Sandwiches ,F,Foods
81893,BR3,Grilled ham and cheese sandwich with tomato,Sandwiches ,F,Foods
81894,MQ1,Grielled ham and cheese sandwich,Sandwiches ,F,Foods
82253,WCRY3, Sparkling Water,Other beverages ,A,Refreshing drinks
82255,WATER, Still Mineral Water,Other beverages ,A,Refreshing drinks
82464,JUI33, Red Juice,Other beverages ,A,Refreshing drinks
82465,JUI32, Green Juice,Other beverages ,A,Refreshing drinks
82478,JUI31, Suco de Laranja,Other beverages ,A,Refreshing drinks
82693,NUOAT,Oatmilk,Other beverages ,A,Refreshing drinks
83349,ACX1, Still Mineral Water,Other beverages ,A,Refreshing drinks
84458,C4TWPDQ11,Coffee latte + cheese bread,Combos ,K,Promoted sales
84460,C3MCBLIM,Mocha latte + lemon cake,Combos ,K,Promoted sales
84462,C2SCSLTC,Salted caramel latte (iced) + salted caramel cookie,Combos ,K,Promoted sales
84463,C1PBBRIG10,Double espresso + brigadeiro,Combos ,K,Promoted sales
84468,C2PM2FOOD2, Americano + Croissant,Combos ,K,Promoted sales
84471,C2PMBRO13, Americano + Brownie,Combos ,K,Promoted sales
84475,C3BG2FOOD2,Coffee with ginger flavor (iced) + croissant,Combos ,K,Promoted sales
84479,C3MCCKTR,Mocha latte + traditional cookie,Combos ,K,Promoted sales
84492,C5ILPDQ11,Iced latte + cheese bread,Combos ,K,Promoted sales
84507,C4MILCKMC,Green tea and mint latte (iced) + macadamia nuts cookie,Combos ,K,Promoted sales
84520,C1FCCKTR,Caramel latte + tradicional cookie,Combos ,K,Promoted sales
84531,C5ILBRIG10,Coffee latte (iced) + brigadeiro,Combos ,K,Promoted sales
84536,C6ICBBRO13,Iced coffee + brownie,Combos ,K,Promoted sales
84602,C5CM3FOOD3,Chocolate and mint latte (iced) + pain au chocolat,Combos ,K,Promoted sales
84627,C1IC3FOOD3,Vanilla latte (iced) + pain au chocolat,Combos ,K,Promoted sales
84732,C5MCCKMC,Green tea latte (iced) + macadamia nuts cookie,Combos ,K,Promoted sales
84873,C1ICCKTR,Vanilla latte (iced) + tradicional cookie,Combos ,K,Promoted sales
84987,ICEDBRO,Vanilla latte (iced) + brownie,Combos ,K,Promoted sales
85967,2FOOD2,Croissant,Bakery Products ,F,Foods
85970,PDQ11,Cheese bread,Bakery Products ,F,Foods
86262,BRIOP,Brioches,Bakery Products ,F,Foods
86279,3FOOD3,Pain au Chocolat,Bakery Products ,F,Foods
89534,FSOD2,Pink lemonade,Italian Soda ,A,Refreshing drinks
89537,FSOD1,Lemon,Italian Soda ,A,Refreshing drinks
89540,FSOD5,Strawberry,Italian Soda ,A,Refreshing drinks
89736,FSOD4,Passion fruit,Italian Soda ,A,Refreshing drinks
89737,3CBBE,Coffee beans 250g special edition 1,Coffee Line ,S,Boutique
89738,1CBWB,Coffee beans 250g special edition 2,Coffee Line ,S,Boutique
89743,2CBKE,Coffee beans 250g special edition 3,Coffee Line ,S,Boutique
89771,1CBW2,Ground coffee beans sachés edition 1,Coffee Line ,S,Boutique
89772,4CB1,Coffee beans 1 kg special edition 1,Coffee Line ,S,Boutique
89862,2CBWB,Ground coffee beans sachés edition 2,Coffee Line ,S,Boutique
89878,3CBWB,Ground coffee beans sachés edition 3,Coffee Line ,S,Boutique
89995,5MUG,mug,Casual Line ,S,Boutique
89997,1DRR,dripper,Casual Line ,S,Boutique
89999,2PF,paper filter,Casual Line ,S,Boutique
90000,4TBS, Tumbler (250ml),Casual Line ,S,Boutique
90002,3TBB, Tumbler (400ml),Casual Line ,S,Boutique
90003,1TB,Bags,Casual Line ,S,Boutique
90005,UMBRE, Umbrella,Casual Line ,S,Boutique
90157,ICEAFF,Extra ice cream,Ice Cream ,D,Desserts
92603,CKICE,Cake (hot) with ice cream,Sorvetes com brownie ,D,Desserts
92604,BRICE,Brownie (hot) with ice cream,Sorvetes com brownie ,D,Desserts
92802,MATCHL,Green tea can,Tea Line ,S,Boutique
92811,CHSTCKAPP,Christimas cookies,Chocolates,F,Foods
92815,CH4G,Chocolate 50g,Chocolates,F,Foods
92825,CH8G,Chocolate 10,Chocolates,F,Foods
92994,GRA30,Granola,Chocolates,F,Foods
93076,B1PB,Double espresso (discount sale),Black Friday ,K,Promoted sales
93103,B2AM,Americano (discount sale),Black Friday ,K,Promoted sales
93104,B4UC,Chocolate latte (discount sale),Black Friday ,K,Promoted sales
93106,B7IC,Green tea and mint latte (iced)(discount sale),Black Friday ,K,Promoted sales
93108,B1ICHAI,Masala chai and ginger latte (iced)(discount sale),Black Friday ,K,Promoted sales
93160,DRKSD1,Lemon soda with edible charcoal,Halloween ,K,Promoted sales
93204,PASCOA4,Mocha milkshake,Páscoa ,K,Promoted sales
93205,PASCOA3,Chocolate latte,Páscoa ,K,Promoted sales
93206,PASCOA2,Mocha latte,Páscoa ,K,Promoted sales
93223,PASCOA1,Chocolate and mint latte (iced),Páscoa ,K,Promoted sales
93226,PASCOA5,Chocolate milkshake,Páscoa ,K,Promoted sales
93267,MWEEK6,Green tea and mint latte (iced),Green Tea Week ,K,Promoted sales
93268,MWEEK4,Green tea latte (iced),Green Tea Week ,K,Promoted sales
93269,MWEEK5,Green tea and vanilla latte,Green Tea Week ,K,Promoted sales
93279,MWEEK7,Green tea milkshake,Green Tea Week ,K,Promoted sales
93319,MWEEK3,Green tea latte (discount sale),Coffee Week ,K,Promoted sales
93325,BIRTH,Vanilla latte (discount discount sale),Birthday  ,K,Promoted sales
93371,BIRTH5,Double espresso (discount sale),Birthday  ,K,Promoted sales
93376,BIRTH1,Iced coffe (discount sale),Birthday  ,K,Promoted sales
93382,BIRTH4,Green tea latte (discount sale),Birthday  ,K,Promoted sales
